sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:atc,matchScore,mappingStatus,conceptId,comment
90396A,LACTOBACILLUS PLANTARUM,695,,,1.0,UNCHECKED,35602886,
69QL,ALUMINIO CLORURO HEXAHIDRATO,8,,,0.48168420791625977,UNCHECKED,957393,
200244A,HIDROCORTISONA +  CROTAMITON,0,,D07XA01,0.528881311416626,UNCHECKED,969276,
869B,EDTA,1,,,1.0,UNCHECKED,1741008,
200848A,MENTOL + ALCANFOR,408,,,0.5261330604553223,UNCHECKED,901656,
300811A,OXIDO DE ZINC,2103,,,0.5499600768089294,UNCHECKED,911064,
87A,BISACODILO,1829,,A06AB02,0.6855223178863525,UNCHECKED,924939,
8357A,SAXAGLIPTINA,8006,40166037;40166038;40166035;40166041;40166042,A10BH03,0.987210214138031,AUTO_MAPPED,40166035,
8703A,CANAGLIFLOZINA,3028,43526465,A10BK02,0.9898040890693665,AUTO_MAPPED_TO_1,43526465,
108A,AMOXICILINA,426059,,R05CZ93,0.8498902916908264,APPROVED,1713332,
2719A,IRINOTECAN,0,1367268,L01XX19,1.0,AUTO_MAPPED_TO_1,1367268,
200808A,PARACETAMOL + FENILEFRINA + CLORFENAMINA,690,,N02BE51,0.4899652600288391,UNCHECKED,1125315,
3412A,ELEDOISINA,0,,S01XA93,0.39974164962768555,UNCHECKED,1594254,
64A,MONTELUKAST,81850,1154193;1154161;1154192;19113985;1154195;19101792;1154197;1154196;1154201;19101818;19023368;19102732,R03DC03,1.0,APPROVED,1154161,
300203A,CANULA LARINGUECTOMIA,32,,,0.22572125494480133,UNCHECKED,19016537,
2373A,PROPOFOL,1,753627;753626;19044275;40243605;19044276;753629;19017322;40168828,N01AX10,1.0,AUTO_MAPPED,753626,
200383A,PROPIFENAZONA + CAFEINA + PIRIDOXINA + TIAMINA,1,,N02BB51,0.4342978596687317,UNCHECKED,1112807,
3897A,PREGABALINA,349932,19123171;19123169;19123173;734400;40172649;40172650;734394;734360;734392;19123159;734396;19123163;734354;19123161;19112671;19123167;19112670;19123165;734356,N03AX16,0.9737393260002136,APPROVED,734354,
200295A,MANITOL + SODIO BICARBONATO + SODIO CLORURO,0,,B05BC01,0.5028932690620422,UNCHECKED,967823,
200706A,SOLUCION RINGER LACTATO + GLUCOSA,0,,B05BB01,0.4843692481517792,UNCHECKED,961145,
2424A,EPOPROSTENOL,6,19045938;40226772;1354118;1354119;19115194;19115193,B01AC09,1.0,AUTO_MAPPED,1354118,
200375A,POTASIO CLORURO + SODIO CLORURO,10,,B05BB01,0.4694436490535736,UNCHECKED,967823,
7368A,FELBAMATO,0,795661;795672;19040326;795673;19040327;19040325;19077243,N03AX10,0.9571253657341003,AUTO_MAPPED,795661,
200501A,NEOMICINA + NAFAZOLINA + ZINC SULFATO,0,,S01AA20,0.5204398036003113,UNCHECKED,19044522,
608A,CITIOLONA,0,,R05CB91,0.8923820853233337,UNCHECKED,19050441,
9284A,EFMOROCTOCOG ALFA,0,1352213;19130005;19115179;19129868,B02BD02,0.7960150837898254,AUTO_MAPPED,1352213,
3085A,TAUROCOLICO ACIDO,0,,V09DX01,0.48874756693840027,UNCHECKED,36878602,
200920A,DEXTROMETORFAN + FENILPROPANOLAMIDA,1,,,0.40560582280158997,UNCHECKED,901656,
300844A,SISTEMA + 2 SONDAS RECTALES CON BALON + 2 CINTAS,147,,,0.34170418977737427,UNCHECKED,42900496,
200155A,DIHIDROERGOCRISTINA + CINARIZINA,1340,,C04AE54,0.5903117656707764,UNCHECKED,19026526,
300201A,CALCETIN ELASTICO TERAPEUTICO,1136,,,0.3528444468975067,UNCHECKED,35605406,
2999A,PEGAPTANIB,0,40225813;40225814;19063605,S01LA03,1.0,AUTO_MAPPED,19063605,
201354A,CLOTRIMAZOL + ACETONIDO TRIAMCINOLONA,24,,,0.6043422818183899,UNCHECKED,903963,
200329A,NEOMICINA + NAFAZOLINA,0,,S01AA03,0.4231538772583008,UNCHECKED,19003491,
300367A,SUSPENSORIO,327,,,0.439902663230896,UNCHECKED,1167322,
2920A,IBRITUMOMAB TIUXETAN,0,,V10XX02,1.0,UNCHECKED,19068830,
200682A,FLUPAMESONA + GENTAMICINA,0,,D07CC92,0.5298146605491638,UNCHECKED,975125,
200233A,GENTAMICINA + TETRIZOLINA,0,,S01AA20,0.4726150333881378,UNCHECKED,19031041,
2393A,PRILOCAINA,0,40226277;40226276;951279;40226272;40226274;19021912;40226270;19104220,N01BB04,0.9526176452636719,AUTO_MAPPED,951279,
200914A,OXIMETAZOLINA + CLORFENAMINA,16,,,0.3962182402610779,UNCHECKED,1000632,
200655A,FENAZONA + PROCAINA,0,,S02DC91,0.47620952129364014,UNCHECKED,914335,
8049A,VIRUS PAPILOMA HUMANO TIPO 16 PROTEINA L1,9,,J07BM02,0.5706384778022766,UNCHECKED,42899116,
200740A,GLUCONATO CALCICO + SACARATO CALCICO,0,,A12AA03,0.4439742863178253,UNCHECKED,19035704,
2833A,IMATINIB,433,19102833;19102832;19071511;19103655;19102502;19102501;1304107;19112669;19071340,L01XE01,1.0,AUTO_MAPPED,1304107,
2429A,ZOLPIDEM,248943,40163492;40163493;40244260;40244261;40244256;40163491;40244257;40163500;40163501;40163496;40163497;744740;40163499;19134131;19003153;744794;19134129;40163504;40163505;744797;744796;19016922;19133310,N05CF02,1.0,APPROVED,744740,
2388A,DOSULEPINA,1,19037989,N06AA16,0.9638321995735168,AUTO_MAPPED_TO_1,19037989,
300000A,ABSORB INC ORINA NOC ANAT,10722,,,0.2706740200519562,UNCHECKED,43012217,
9143A,NIVOLUMAB,0,45892628,L01XC17,1.0,AUTO_MAPPED_TO_1,45892628,
200665A,CIANOCOBALAMINA + PIRIDOXINA + TIAMINA,118,,A11DB91,0.439462274312973,UNCHECKED,1308738,
9247A,RIBOCICLIB,0,1592911,L01XE42,1.0,AUTO_MAPPED_TO_1,1592911,
698A,ACIDO CROMOGLICICO,8491,,S01GX01,0.7728226184844971,UNCHECKED,1152631,
200278A,LEVONORGESTREL +  ESTRADIOL,2214,,G03FB01,0.6808362007141113,UNCHECKED,1548195,
2093A,ZZTR-ACETIL-L-CARNITINA,0,19107043;19133697;19124285;19037596;19037597,N06BX12,0.5625176429748535,AUTO_MAPPED,19037596,
200208A,FLUDROCORTISONA + FURALTADONA + NEOMICINA + POLIMIXINA B,0,,S02CA07,0.45202794671058655,UNCHECKED,915981,
200658A,HIDROCORTISONA + TIROTRICINA + DODECIL-D-(B-HIDROXIETIL)BENZALCONIO CLORURO,0,,D07CA01,0.2628548741340637,UNCHECKED,42900369,
2525A,LODOXAMIDA,57,967498;967496;19033470,S01GX05,0.9080004692077637,AUTO_MAPPED,967496,
100402A,LOCION ANTICAIDA,40,,,0.36648207902908325,UNCHECKED,1126128,
3714ZM,AVENA CONCENTRADO COLOIDAL,32,,,0.4164332449436188,UNCHECKED,938268,
2482A,ENOXAPARINA,209282,40160996;40160997;40160998;40160992;40160993;40160994;40160995;40160973;40160974;19104488;40160970;40160971;40160948;40160949;1301025;42708409;40160989;40160990;40160991,B01AB05,0.9736000299453735,APPROVED,1301025,
8283A,ROMIPLOSTIM,18,19032407,B02BX04,1.0,AUTO_MAPPED_TO_1,19032407,
1490A,FACTOR IX,1,1351935,B02BD04,1.0,AUTO_MAPPED_TO_1,1351935,
31A,ORGOTEINA,0,19082874,M01AX14,0.9728902578353882,AUTO_MAPPED_TO_1,19082874,
300639A,ESPARADRAPO HIPOALERGICO FLEXIBLE,820,,,0.33123669028282166,UNCHECKED,1356461,
300707A,LECHE Y FORMULAS DE CONTINUACION DESDE EL 4º Y 6º MES,1,,,0.1386893391609192,UNCHECKED,916802,
200557A,TIAMINA + CIANOCOBALAMINA + PIRIDOXINA,3216,,A11DB91,0.4411660432815552,UNCHECKED,1308738,
300214A,FORMULAS COMPLETAS OLIGOMERICAS NORMOPROTEICAS,421,,,0.3540407121181488,UNCHECKED,19091624,
2762A,ACIDO IBANDRONICO,62282,40174372;40173414;40173415;40174369;40174368;40174365;40174364;40174360;19011068,M05BA06,0.0,UNCHECKED,0,
300693A,FORMULAS COMPLETAS OLIGOMERICAS NORMOPROTEICAS INFANTIL,9,,,0.3233138620853424,UNCHECKED,19091624,
200183A,ESTIMULANTE APETITO,0,,A15ZZ91,0.3596757650375366,UNCHECKED,1588712,
1619A,FUSIDICO ACIDO,112619,,S01AA13,0.7112132906913757,APPROVED,19010400,Actually Fusidic acid
100364A,ESPONJA,8,,,0.35068267583847046,UNCHECKED,44818500,
200120A,COLCHICINA + DICICLOVERINA,27082,,M04AC51,0.5465610027313232,UNCHECKED,1101554,
2539A,GADOPENTETATO DE MEGLUMINA,0,,V08CA01,0.8340837955474854,UNCHECKED,19097468,
300723A,ABSORBENTE INC ORINA DIA ANAT INICIA,38690,,,0.29357942938804626,UNCHECKED,1740546,
100342A,PLANTILLA,26,,,0.5180937647819519,UNCHECKED,19020949,
300472A,TIRAS REACTIVAS GLUCOSA SANGRE,388583,,,0.4032643437385559,APPROVED,4222987,
100332A,AMPOLLAS ANTICAIDA,26,,,0.3059424161911011,UNCHECKED,19069049,
300785A,APOSITO DE HIDROCOLOIDE CON VASELINA,1,,,0.37944296002388,UNCHECKED,19033354,
201321A,GLICERINA + BICARBONATO SODICO + BORATO SODICO,44,,,0.4577843248844147,UNCHECKED,42800417,
200747A,SOLUCION ( AMINOACIDOS CON ELECTROLITOS + GLUCOSA),0,,B05BA10,0.3431122899055481,UNCHECKED,961145,
201149A,HIDROCORTISONA + KETOCONAZOL,137,,,0.5030995607376099,UNCHECKED,985708,
7275A,PANTOPRAZOL,340136,948078;948079;948108;19113991;19071430;948107;19129541;19129540;19113992;19080217;40168991;19128318;948080;19016797,A02BC02,0.969028890132904,APPROVED,948078,
1484A,ETOPERIDONA,0,,N06AB09,0.5930835604667664,UNCHECKED,19017241,
1821A,LACTULOSA,42025,19105831;987273;987272;19060650;19128681;19128680;19106993;19108017;19114490;19129022;19129021;987281;19003454;987280;19129020;987245;42709103;987307;987306;987304;987303;987302;19104529;42709106;42709105;42709104;987250,A06AD11,0.8624398112297058,AUTO_MAPPED,987245,
201446A,COBICISTAT + TENOFOVIR (TAF) + EMTRICITABINA + DARUNAVIR,0,,J05AR22,0.5605296492576599,UNCHECKED,19011093,
201078A,SOLUCION DE L-AMINOACIDOS,0,,B05BA01,0.42300742864608765,UNCHECKED,962398,
1043A,BALSAMO PERU,302,,D09AX91,0.6744323372840881,UNCHECKED,922976,
8476A,TELAPREVIR,70,40239330,J05AP02,1.0,AUTO_MAPPED_TO_1,40239330,
8687A,TREHALOSA,491,,,0.8982920050621033,UNCHECKED,42900069,
300876A,APOSITO ESPUMA POLIURETANO CON ADHESIVO Y BORDE SILICONA,1,,,0.24019555747509003,UNCHECKED,19066891,
300699A,MODULOS PROTEINA ENTERA,1089,,,0.5180416107177734,UNCHECKED,19005512,
8277A,PITAVASTATINA,79926,40165636;40165638;40165639;40165646;40165647;40165642;40165643,C10AA08,0.9738270044326782,APPROVED,40165636,
1996A,NAFAZOLINA,245,,R01AA08,0.6952486634254456,UNCHECKED,19003491,
2567A,SURFACTANTE PULMONAR BOVINO,0,19065954;19091379;19091378;40222438;19104475;19104474;40165432;19066701,R07AA02,0.0,UNCHECKED,0,
200897A,ARNICA MONTANA + ARTEMISIA ABSINTHIUM + ANEMONA PULSATILLA,1,,,0.5098961591720581,UNCHECKED,43533029,
2497A,RAMIPRIL,131669,19127399;19127398;19127397;19067557;19127396;1334492;1334460;1334461;1334494;1334456;19003855;1334459;19003854;1334535;19102170;19102169;1334536,C09AA05,1.0,APPROVED,1334456,
200023A,ALOPURINOL + BENZBROMARONA,0,,M04AA51,0.691301703453064,UNCHECKED,19016754,
201027A,ARTEMETER +  LUMEFANTRINA,0,19033634,P01BE02,0.23595888912677765,AUTO_MAPPED_TO_1,19033634,
2361A,TIOCONAZOL,12025,,G01AF08,0.9688631892204285,UNCHECKED,942028,
185A,COLEXTRAN,33,,C10AC03,0.5533716678619385,UNCHECKED,1352890,
201243A,SULFACETAMIDA + BETAMETASONA,15,,S01CA05,0.5188308358192444,UNCHECKED,1036252,
200389A,PYGEUM AFRICANUM + BENCIDAMINA,302,,G04CX92,0.6867918372154236,UNCHECKED,1391440,
201344A,HIDROCORTISONA + CLOTRIMAZOL,54,,,0.7454743981361389,UNCHECKED,1000632,
2401A,BETAXOLOL,1895,,S01ED02,1.0,UNCHECKED,1322081,
1253A,NATEGLINIDA,276,19107111;19071495;19107110;1502830;1502829;1502826;1502827;1502873,A10BX03,0.9190150499343872,AUTO_MAPPED,1502826,
828A,CEFUROXIMA,426898,,S01AA27,0.9279905557632446,APPROVED,1778162,
2323A,CARBOPLATINO,0,19074759;1344909;1344910;1344905,L01XA02,0.9619918465614319,AUTO_MAPPED,1344905,
200418A,SOLUCION LEVUPLURISALINA,0,,B05BB02,0.5443403720855713,UNCHECKED,42900318,
300787A,APOSITO DE HIDROCOLOIDE EN MALLA CON VASELINA,35,,,0.34220173954963684,UNCHECKED,19033354,
1096A,OXIDRONICO ACIDO,0,,V09BA01,0.557515561580658,UNCHECKED,1511646,
201137A,ACIDO FUSIDICO + HIDROCORTISONA,1552,,D07CA01,0.5460635423660278,UNCHECKED,19010400,
9066A,UMECLIDINIO,295,46274911,R03BB07,0.0,UNCHECKED,0,
37A,ISOTRETINOINA,4711,,D10BA01,0.9746178388595581,UNCHECKED,984232,
1850A,LINESTRENOL,186,,G03DC03,1.0,UNCHECKED,19092358,
1367A,DIMETOFRINA CLORHIDRATO,0,,C01CA12,0.4242520034313202,UNCHECKED,19089602,
126A,PIRICARBATO,0,,C10AD93,0.6685943007469177,UNCHECKED,19059744,
2898A,DIBOTERMIN ALFA,0,,M05BC01,1.0,UNCHECKED,36879004,
200347A,PAPAVERINA  +  MAGNESIO,0,,A03ED91,0.41465964913368225,UNCHECKED,1326901,
3151A,TRIFLUOPERAZINA,1,19004640;19128608;19112676;19129071;704987;704984;19004661;704990;704988;704989;705042;705043;705044;19105532;19039746;19039747;19039744;19039748;19059720;19022350;19107084;705016;705017;19004637;19004636;19004639;19004638,N05AB06,0.977418065071106,AUTO_MAPPED,704984,
1681A,GLICINA,0,962398;19106347;19077706;19077705,B05CX03,0.23315580189228058,AUTO_MAPPED,962398,
1177A,NALOXONA,9,,V03AB15,0.9386007189750671,UNCHECKED,1114220,
200127A,COTRIMOXAZOL ( SULFAMETOXAZOL + TRIMETOPRIM ),37817,,J01EE01,0.3851363956928253,UNCHECKED,1705674,
100357A,DISPOSITIVO INTRAUTERINO,1,,,0.2908526659011841,UNCHECKED,1379525,
8256A,COLESEVELAM,247,40167012;40167013;1518148;40167020;40167021;40167016;40167017,C10AC04,1.0,AUTO_MAPPED,1518148,
201121A,DUTASTERIDE + TAMSULOSINA,86849,,G04CA52,0.7469506859779358,APPROVED,924566,
201121A,DUTASTERIDE + TAMSULOSINA,86849,,G04CA52,0.7469506859779358,APPROVED,989482,
2914A,GADOBENICO ACIDO,0,,V08CA08,0.8164966702461243,UNCHECKED,19007652,
9096A,SIMOCTOCOG ALFA,0,1352213;19130005;19115179;19129868,B02BD02,1.0,AUTO_MAPPED,1352213,
8469A,CLOSTRIDIUM HYSTOLITICUM,0,40172153,M09AB02,0.5321955680847168,AUTO_MAPPED_TO_1,40172153,
200535A,FORMOTEROL + BUDESONIDA,190106,,R03AK07,0.7221462726593018,APPROVED,939259,
200535A,FORMOTEROL + BUDESONIDA,190106,,R03AK07,0.7221462726593018,APPROVED,1196677,
8198A,AZACITIDINA,5,19114691;1314865;1314867,L01BC07,0.9667094349861145,AUTO_MAPPED,1314865,
300485A,SONDA VESICAL BAJA FRICCION NELATÓN PEDIATRIA,1,,,0.37026214599609375,UNCHECKED,44012531,
200126A,COTRIMAZIN ( SULFADIAZINA + TRIMETOPRIM ),0,,J01EE02,0.3943968713283539,UNCHECKED,1836391,
200599A,AMOXICILINA + ACETILCISTEINA,0,,R05CZ93,0.4297284781932831,UNCHECKED,19084915,
200414A,SOLUCION GLUCOPOTASICA,0,,B05BB92,0.482879102230072,UNCHECKED,19059547,
200999A,HIDROGENO FOSFATO DE SODIO+DIHIDROGENO FOSFATO DE SODIO,1,,,0.33378833532333374,UNCHECKED,19078187,
300576A,CANULA TRAQUEOT-LARING SILICONA FENESTRADA,11,,,0.308698832988739,UNCHECKED,976778,
9999A,AGUA PARA INYECCION,546,,V07AB94,0.2339859902858734,UNCHECKED,19092065,
200782A,FENILEFRINA + ESCOPOLAMINA + ATROPINA,1,,S01FA51,0.4103577136993408,UNCHECKED,965748,
767A,TROFOSFAMIDA,0,19101677,L01AA07,0.9507703185081482,AUTO_MAPPED_TO_1,19101677,
300390A,VENDA ELASTICA ADHESIVA,75,,,0.4040820002555847,UNCHECKED,1507835,
123A,POTASIO,38388,,H03CA91,0.6348428726196289,UNCHECKED,43014256,
200009A,ACETILSALICILICO ACIDO + GLUCOSAMINAGLUCONATO,1,,M02AC92,0.41668567061424255,UNCHECKED,1360332,
2883A,PEGINTERFERON ALFA-2 A,539,1714165,L03AB11,0.8080053925514221,AUTO_MAPPED_TO_1,1714165,
928A,FLUOCINONIDA,595,,D07AC08,0.9273718595504761,UNCHECKED,955252,
2451A,LISURIDA,13,,G02CB02,0.8501111268997192,UNCHECKED,19091472,
201093A,AMINOACRIDINA+HEMISUCCIONATO DE HIDROCORTISONA+ALANTOÍNA+LIDOCAÍNA CLORHIDRATO,504,,C05AA51,0.2848258912563324,UNCHECKED,975125,
1060A,NEVIRAPINA,761,40237541;40237542;1769390;1769391;43525934;1769389;19047803;40238459;1769413;40238458,J05AG01,0.9618338942527771,AUTO_MAPPED,1769389,
300705A,ABSORBENTE INC ORINA LIGERA FEMENINO,74,,,0.29731693863868713,UNCHECKED,43012283,
8261A,AMBRISENTAN,54,1337104;19126932;1337068;1337070;1337103,C02KX02,1.0,AUTO_MAPPED,1337068,
201097A,TRIMETOPRIM + SULFAMETOXAZOL + BROMHEXINA + EXTO BALSAMO TOLU,599,,R05CZ95,0.397384911775589,UNCHECKED,19030493,
1065A,TEMOZOLOMIDA,674,1341173;19082374;19079717;19079716;19126411;1341149;19126409;1341150;1341151;1341176;19068335;1341209;1341210;19125747;19125745,L01AX03,0.9346702694892883,AUTO_MAPPED,1341149,
7406A,IRBESARTAN,71268,19022947;19022948;19022949;1347384;1347385;1347386;1347387,C09CA04,1.0,AUTO_MAPPED,1347384,
300697A,FORMULAS CON CONTENIDO GRASO EN FORMA DE TRIGLICERIDOS DE CADENA MEDIA,1,,,0.2935918867588043,UNCHECKED,916802,
200936A,CLORFENAMINA + DEXAMETASONA + NEOMICINA + LISOZIMA,13,,R01AD53,0.39612117409706116,UNCHECKED,915981,
299A,GLUBIONATO CALCICO,0,19128771;19126084;19097867;19128953;19061881;19128952;19097887;19097886,A12AA02,0.7324594259262085,AUTO_MAPPED,19097867,
1575A,FLUPREDNIDENO ACETATO,0,,D07AB07,0.8498401045799255,UNCHECKED,19056447,
200818A,SODIO BICARBONATO + MAGNESIO SULFATO,1,,,0.5646964311599731,UNCHECKED,908464,
3818A,OTILONIO BROMURO,74056,19113902,A03AB06,0.0,UNCHECKED,0,
2748A,ESTAVUDINA,10,19079683;19102467;19103687;1781407;19102470;19079686;1781406;19102469;19079685;19079684;1781436;19102468;19125901;19125939;19125943;19125941;1781411;1781410;1781409;1781408,J05AF04,0.943382740020752,AUTO_MAPPED,1781406,
895A,POLIESTRADIOL,0,19094991,L02AA02,0.0,UNCHECKED,0,
200446A,SULFANILAMIDA + SULFATIAZOL,0,,D06BA52,0.5861995816230774,UNCHECKED,1036475,
1751A,HIPOFISIS LOBULO ANTERIOR,0,,A04AD95,0.2938029170036316,UNCHECKED,19043191,
8706A,RADIO 223,0,43526936,V10XX03,0.0,UNCHECKED,0,
200442A,SULFADIAZINA ARGENTICA + ACEXAMICO ACIDO,0,,D06BA51,0.4832375943660736,UNCHECKED,19025107,
200900A,EUCALIPTO + TIMOL + TREMENTINA + MENTOL + ALCANFOR,10,,,0.3815135061740875,UNCHECKED,902427,
200692A,CLORFENAMINA + FENILEFRINA + GUAIFENESINA + DIFENHIDRAMINA,0,,R01BA53,0.40449246764183044,UNCHECKED,1163944,
986A,SULFADIAZINA,15009,1836392;1836393;1836391,J01EC02,0.9695054888725281,AUTO_MAPPED,1836391,
2818A,ZIPRASIDONA,5697,712619;712648;712616;712617;712649;712620;712621;712642;712643;19071496;712615,N05AE04,0.9553408622741699,AUTO_MAPPED,712615,
9274A,BEZLOTOXUMAB,0,1718211,J06BB21,1.0,AUTO_MAPPED_TO_1,1718211,
7400A,ATORVASTATINA,775531,1545959;1545958;1545999;1545998;1545997;19123593;19123592;1545996;19103503;19068781,C10AA05,0.9725069403648376,APPROVED,1545958,
2923A,ATAZANAVIR,1125,19102203;19102202;19102201;1727254;19102222;1727223;1727255;19102221;19102220,J05AE08,1.0,AUTO_MAPPED,1727223,
200492A,EMODINA EN ASOCIACION,1,,A05AX92,0.32233721017837524,UNCHECKED,42904205,
7123A,ILOPROST,15,40164836;1344992;19112949;19104373;1344995;40164835;19054361,B01AC11,1.0,AUTO_MAPPED,1344992,
100376A,SUERO AUTOLOGO,71,,,0.3144184350967407,UNCHECKED,19028950,
200300A,MEPIVACAINA + EPINEFRINA,1,,N01BB53,0.5655245780944824,UNCHECKED,702774,
3147A,TOLNAFTATO,0,19041954;19041955;19041952;19041953;19041958;19041959;19041956;19041957;19041962;19041963;19041960;19041961;19041966;19041967;19102638;19041964;19041965;19041970;19041968;19041969;42707742;42707741;40230393;40230395;40239044;40239941;40239041;40239040;40239043;19041930;19103243;40243660;902950;19135496;42708132;903228;19071124;19103258;903223;903222;19041951;19079778;19126503;19126502;902982;42708423;40167359;40228102;19041994;19041995;19041992;40166543;19041993;19125966;19041996;19003087;903161;19105115;42708595;903284;40236958;40168856;903283;903282,D01AE18,0.9654620289802551,AUTO_MAPPED,902950,
300202A,CAMARA INHALACION,38966,,,0.3571699559688568,UNCHECKED,704599,
7160A,MIGLITOL,1908,19029030;19029029;19029061;1510208;1510207;1510206;1510202,A10BF02,1.0,AUTO_MAPPED,1510202,
300112A,BOLSAS RESINA SINTETICA  FILTRO,162,,,0.1991855353116989,UNCHECKED,1704758,
200956A,HIERRO SULFATO DESECADO + ACIDO FOLICO,73,,B03AD03,0.4660927653312683,UNCHECKED,1396131,
2350MG,ESPAGLUMATO MAGNESICO,1,,,0.4507947266101837,UNCHECKED,19091288,
1070A,LOFEPRAMINA,0,19091830,N06AA07,0.963699996471405,AUTO_MAPPED_TO_1,19091830,
201190A,NAPROXENO + ESOMEPRAZOL,19434,,M01AE52,0.838962197303772,UNCHECKED,904453,
201357A,TESTOSTERONA PROPIONATO + HIDROCORTISONA,1,,,0.5059086084365845,UNCHECKED,1636780,
2170A,PLANTAGO OVATA,28575,40242606;958022;40242607;40235823;19102639;958211;19122477;19020716;19060973;40235829;40233847;19133040;40235825;40242608;40168126;40237887;40237886;40237895;40237767;40237894;19135687;19065031;40237891;957992;40237890;19021317;19066632;19057096;40238926;42709307;957946,A06AC01,0.0,UNCHECKED,0,
200115A,CLORTALIDONA + ESPIRONOLACTONA,2764,,C03EA06,0.5454612970352173,UNCHECKED,970250,
1628A,GAMMAGLOBULINA ANTI-RH,8253,535714,J06BB01,0.37149298191070557,AUTO_MAPPED_TO_1,535714,
